City,Weather_main,Weather_description,Temprature,Feels_Like,Temp_Min,Temp_Max,Pressure,Humidity,Visibility,Wind_Speed,Timestamp,Country,Sunset,Sunrise
Mumbai,Clouds,overcast clouds,26.84,29.91,26.84,26.84,1002,86,10000,7.69,1753263026,IN,1753278458,1753231332
Delhi,Clouds,overcast clouds,30.81,37.81,30.81,30.81,997,75,10000,5.11,1753262584,IN,1753278461,1753229232
Chennai,Clouds,overcast clouds,31.23,38.23,31.23,31.23,1002,76,10000,3.32,1753262638,IN,1753276101,1753230123
Bangalore,Clouds,overcast clouds,24.59,24.96,24.59,24.59,1006,71,10000,7.51,1753262700,IN,1753276732,1753230775
Kolkata,Clouds,overcast clouds,34.78,41.75,34.78,34.78,993,54,10000,2.59,1753263201,IN,1753275101,1753227239
Pune,Clouds,overcast clouds,23.5,24.28,23.5,23.5,1003,91,10000,6.21,1753262735,IN,1753278167,1753231140
Hyderabad,Clouds,overcast clouds,25.26,25.93,25.26,25.26,1001,80,10000,7.16,1753262810,IN,1753276945,1753230144
Ahmedabad,Clouds,overcast clouds,33.25,37.1,33.25,33.25,998,51,10000,4.84,1753262982,IN,1753278930,1753230971
Jaipur,Clouds,overcast clouds,26.3,26.3,26.3,26.3,998,80,10000,0.81,1753263156,IN,1753278592,1753229773
Lucknow,Clouds,overcast clouds,35.52,41.52,35.52,35.52,994,49,10000,4.56,1753263000,IN,1753277361,1753228556
Noida,Clouds,overcast clouds,28.66,33.62,28.66,28.66,996,79,10000,4.46,1753263286,IN,1753278423,1753229215
Chennai,Clouds,overcast clouds,31.19,37.8,31.19,31.19,1002,69,10000,3.46,1753263241,IN,1753276101,1753230123
Delhi,Clouds,overcast clouds,30.26,36.47,30.26,30.26,996,73,10000,4.59,1753263464,IN,1753278461,1753229232
Pune,Clouds,overcast clouds,23.69,24.31,23.69,23.69,1003,84,10000,7.22,1753263465,IN,1753278167,1753231140
Bangalore,Clouds,overcast clouds,25.23,25.74,25.23,25.23,1006,74,10000,7.98,1753263391,IN,1753276732,1753230775
Hyderabad,Clouds,overcast clouds,25.82,26.47,25.82,25.82,1001,77,10000,7.14,1753263458,IN,1753276945,1753230144
